เชียงราย,31.0 °C
เชียงใหม่,31.1 °C
แม่ฮ่องสอน,31.5 °C
ตาก,33.0 °C
น่าน,29.6 °C
อุตรดิตถ์,30.8 °C
พิษณุโลก,33.0 °C
กำแพงเพชร,33.7 °C
พิจิตร,33.1 °C
สุโขทัย,30.5 °C
พะเยา,32.1 °C
ลำพูน,31.5 °C
ลำปาง,32.8 °C
แพร่,32.8 °C
เพชรบูรณ์,33.6 °C
หนองคาย,32.2 °C
เลย,31.5 °C
ขอนแก่น,32.0 °C
อุบลราชธานี,31.7 °C
นครราชสีมา,30.6 °C
ร้อยเอ็ด,31.0 °C
มุกดาหาร,28.5 °C
อุดรธานี,29.5 °C
หนองบัวลำภู,33.0 °C
นครพนม,27.2 °C
สกลนคร,29.5 °C
มหาสารคาม,32.0 °C
กาฬสินธุ์,31.6 °C
ชัยภูมิ,34.4 °C
ศรีสะเกษ,30.8 °C
ยโสธร,29.6 °C
สุรินทร์,32.1 °C
บุรีรัมย์,32.3 °C
อำนาจเจริญ,28.9 °C
กาญจนบุรี,31.8 °C
นครสวรรค์,33.1 °C
กรุงเทพมหานคร,31.6 °C
สุพรรณบุรี,30.8 °C
ชัยนาท,29.5 °C
ลพบุรี,32.5 °C
พระนครศรีอยุธยา,26.0 °C
ราชบุรี,29.5 °C
ปทุมธานี,27.5 °C
สมุทรสงคราม,30.0 °C
อุทัยธานี,31.5 °C
นครปฐม,29.5 °C
สมุทรปราการ,29.6 °C
สระแก้ว,32.2 °C
ชลบุรี,27.2 °C
ระยอง,30.0 °C
ปราจีนบุรี,33.1 °C
ตราด,32.0 °C
จันทบุรี,32.2 °C
ฉะเชิงเทรา,32.8 °C
นครนายก,22.1 °C
พัทยา,27.7 °C
ประจวบคีรีขันธ์,28.0 °C
ชุมพร,27.5 °C
นครศรีธรรมราช,29.0 °C
นราธิวาส,32.0 °C
สุราษฎร์ธานี,31.5 °C
ยะลา,32.9 °C
ปัตตานี,32.2 °C
สงขลา,31.1 °C
เพชรบุรี,27.0 °C
หัวหิน (ประจวบคีรีขันธ์),30.0 °C
เกาะสมุย (สุราษฎร์ธานี),29.2 °C
พัทลุง,31.2 °C
ระนอง,32.5 °C
ภูเก็ต,32.5 °C
กระบี่,32.8 °C
ตรัง,33.5 °C
พังงา,32.0 °C
สตูล,33.0 °C
หาดใหญ่,32.4 °C
บึงกาฬ,26.8 °C
เชียงราย,31.0 °C
เชียงใหม่,31.1 °C
แม่ฮ่องสอน,31.5 °C
ตาก,33.0 °C
น่าน,29.6 °C
อุตรดิตถ์,30.8 °C
พิษณุโลก,33.0 °C
กำแพงเพชร,33.7 °C
พิจิตร,33.1 °C
สุโขทัย,30.5 °C
พะเยา,32.1 °C
ลำพูน,31.5 °C
ลำปาง,32.8 °C
แพร่,32.8 °C
เพชรบูรณ์,33.6 °C
หนองคาย,32.2 °C
เลย,31.5 °C
ขอนแก่น,32.0 °C
อุบลราชธานี,31.7 °C
นครราชสีมา,30.6 °C
ร้อยเอ็ด,31.0 °C
มุกดาหาร,28.5 °C
อุดรธานี,29.5 °C
หนองบัวลำภู,33.0 °C
นครพนม,27.2 °C
สกลนคร,29.5 °C
มหาสารคาม,32.0 °C
กาฬสินธุ์,31.6 °C
ชัยภูมิ,34.4 °C
ศรีสะเกษ,30.8 °C
ยโสธร,29.6 °C
สุรินทร์,32.1 °C
บุรีรัมย์,32.3 °C
อำนาจเจริญ,28.9 °C
กาญจนบุรี,31.8 °C
นครสวรรค์,33.1 °C
กรุงเทพมหานคร,31.6 °C
สุพรรณบุรี,30.8 °C
ชัยนาท,29.5 °C
ลพบุรี,32.5 °C
พระนครศรีอยุธยา,26.0 °C
ราชบุรี,29.5 °C
ปทุมธานี,27.5 °C
สมุทรสงคราม,30.0 °C
อุทัยธานี,31.5 °C
นครปฐม,29.5 °C
สมุทรปราการ,29.6 °C
สระแก้ว,32.2 °C
ชลบุรี,27.2 °C
ระยอง,30.0 °C
ปราจีนบุรี,33.1 °C
ตราด,32.0 °C
จันทบุรี,32.2 °C
ฉะเชิงเทรา,32.8 °C
นครนายก,22.1 °C
พัทยา,27.7 °C
ประจวบคีรีขันธ์,28.0 °C
ชุมพร,27.5 °C
นครศรีธรรมราช,29.0 °C
นราธิวาส,32.0 °C
สุราษฎร์ธานี,31.5 °C
ยะลา,32.9 °C
ปัตตานี,32.2 °C
สงขลา,31.1 °C
เพชรบุรี,27.0 °C
หัวหิน (ประจวบคีรีขันธ์),30.0 °C
เกาะสมุย (สุราษฎร์ธานี),29.2 °C
พัทลุง,31.2 °C
ระนอง,32.5 °C
ภูเก็ต,32.5 °C
กระบี่,32.8 °C
ตรัง,33.5 °C
พังงา,32.0 °C
สตูล,33.0 °C
หาดใหญ่,32.4 °C
บึงกาฬ,26.8 °C
